letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
1,1,32,33,¬,Herz,Der,HerzDer,split,high,joined form unattested; both halves are real words,False,0,9,45,5649127,3841,0,mein Freund war meine noth[?] aus Herz¬ || Der Bericht des Brieger Ober Landes Gerich
1,1,48,49,¬,De,positum,Depositum,join,high,"joined form attested in DWDS (1,701 hits)",False,0,1701,19,,1,,"und alle hinter sich habende Summen ad De¬ || positum geben, den dahin weiset der Berich"
2,1,100,101,¬,Ver,ſtand,Verſtand,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,19,,alten wollen haben lähmt mir Sinn und Ver¬ || ſtand; ich habe ſeit der Zeit 7 Briefe von
2,3,160,161,¬,ge,gebene,gegebene,join,high,joined form occurs elsewhere in this corpus,False,17,,22,,1,,hts zu höhren. Und die Ewr Durchlaucht ge¬ || gebene Nachrichten wegen Sachßen und Pohle
2,4,190,191,¬,Eyfer,Grev,EyferGrev,split,high,joined form unattested; both halves are real words,False,0,0,22,40,1,220,ja mit glühenden Eyfer¬ || Grev: Schreibt daß Mad C. bey d. J. M. in 
3,1,213,214,¬,Monath,Eine,MonathEine,split,high,joined form unattested; both halves are real words,False,0,0,26,5085,511,0,"32 Rthl erhalten, und zwar durch 5 Monath¬ || Eine Höllen, Quaal ist es daß ich dem Fürs"
4,1,280,281,¬,Summen,Auf,SummenAuf,split,high,joined form unattested; both halves are real words,False,0,0,37,1691017,1039,334349961,e Köpfe dieser Rebellen sind große Summen¬ || Auf Napoleons hat mann 10 Millenen Francke
4,1,283,284,-,Ver,mögen,Vermögen,join,high,joined form occurs elsewhere in this corpus,False,28,,3,,16,,ena hat 3 Millionen Francken aus ſein Ver- || mögen dazu zu zahlen versprochen - Man gla
4,1,294,295,¬,Phe,lipsborn,Phelipsborn,split,high,joined form unattested; both halves are real words,False,0,0,0,4308,1,0,"us dem Hschen Bureau Kraibe, Heym und Phe¬ || lipsborn etliche Kistchen Glaß in Prag lie"
4,2,314,315,¬,ausge,kämpft,ausgekämpft,join,high,"joined form attested in DWDS (2,983 hits)",False,0,2983,0,,1,,r Handschu geworfen und redlich muß ausge¬ || kämpft werden.
4,3,334,335,¬,Canaike,diese,Canaikediese,join,high,head is not a word on its own,False,0,0,0,0,480,, der Menschen - eigentlich an die Canaike¬ || diese macht er große Versprechungen und sa
5,1,358,359,¬,Bä,sewicht,Bäsewicht,split,high,joined form unattested; both halves are real words,False,0,0,0,1115,1,39,"n ein Blanquitt gegeben haben, und der Bä¬ || sewicht hat sich darauf so was fabrizirt."
6,1,377,378,¬,weis,In,weisIn,split,high,joined form unattested; both halves are real words,False,0,607,80,0,1855,0,"eht, so melde ich darauf das was ich weis¬ || In Würdembergsehen ist vor der Hand nichts"
6,2,399,400,¬,schur,lische,schurlische,split,high,joined form unattested; both halves are real words,False,0,0,0,45715,1,4087,nde - Es blieb dan nichts abrig als schur¬ || lische Zögerung da man die Bestätigung von
6,2,420,422,¬,defach,Nur,defachNur,split,review,crosses a page break - check by hand,True,0,0,0,0,697,106911014,teht gut auf jeden Falle bitte ich defach¬ || Nur zählen Sie nichts auf St. Rechnung der
7,1,462,463,-,ge,wiß,gewiß,join,high,joined form occurs elsewhere in this corpus,False,84,,22,,1,,"eits mein deiller Brief, und ich würde ge- || wiß meine Dreißigkeit nicht so weit treibe"
8,1,502,503,¬,geſandt,Hahn,geſandtHahn,split,high,joined form unattested; both halves are real words,False,0,0,32,0,46,850899,alles nach Becke geſandt¬ || Hahn wird sich sehr freuen ich werde ihm s
11,2,620,621,¬,mälert,Behürzigen,mälertBehürzigen,join,high,head is not a word on its own,False,0,0,0,121,1,, schmelget und es schrecklich sich mälert¬ || Behürzigen Ewr Durchlaucht dieser treu gew
12,1,654,655,¬,Schuru,bart,Schurubart,join,high,head is not a word on its own,False,0,0,0,5,1,,en Herren - obgleich er jezt einen Schuru¬ || bart trägt — wegen den von ihm gegebenen R
13,1,674,675,-,trage,gefaß,tragegefaß,split,high,joined form unattested; both halves are real words,False,0,0,6,11304007,2,63,"schreibt daß es 55000 Rthl jährlich trage- || gefaß spiele im jeder mit seine Puppe, ich"
13,2,705,706,-,ver,sprochen,versprochen,join,high,joined form occurs elsewhere in this corpus,False,31,,3,,4,,sich Ihnen ehrerbietigst — Er hat mir ver- || sprochen das Geld zur Auslösung der Papper
14,1,726,727,¬,rückstän,dige,rückständige,join,high,joined form occurs elsewhere in this corpus,False,7,,0,,2,,sondern auch die seit Johr. 1812 rückstän¬ || dige Rente behufs der Befriedigung der Cre
14,1,730,731,¬,Angelegen,heit,Angelegenheit,join,high,joined form occurs elsewhere in this corpus,False,24,,2,,11,,"ebirg in Berlin, der jezt diese Angelegen¬ || heit cst Fucum betreibet, kurz von der Abr"
14,1,734,735,-,ge,rade,gerade,join,high,joined form occurs elsewhere in this corpus,False,42,,22,,3,,"he verglichen werden, da die 3 Erbenen ge- || rade unwesend waren. Was in Ihren Kräften "
16,1,837,838,¬,Obristlieut,nant,Obristlieutnant,join,high,head is not a word on its own,False,0,19,0,0,1,, daher gieng ich zu dem Herrn Obristlieut¬ || nant u Thiel. Ich machte ihm mit Ewr Durch
16,1,849,850,¬,Dinge,Ich,DingeIch,split,high,joined form unattested; both halves are real words,False,0,0,14,6764044,4451,255244905, und das Civile - sind 2 Interogene Dinge¬ || Ich hielt dies für Pflicht Ewr Durchlaucht
16,2,857,858,¬,herbey,Bonaparte,herbeyBonaparte,split,high,joined form unattested; both halves are real words,False,0,0,10,216,10,33190," Kurz von allen Seiten eilen Herrn herbey¬ || Bonaparte bildet dagegen, auch eine fürcht"
16,2,859,860,¬,Ver,schanzungen,Verschanzungen,join,high,"joined form attested in DWDS (1,010 hits)",False,0,1010,3,,1,,"he und Magazine an, zieht kleinen von Ver¬ || schanzungen die schwer zu durchbrechen sin"
16,2,862,863,¬,ge,mildert,gemildert,join,high,joined form occurs elsewhere in this corpus,False,1,,22,,1,,"rden, wodurch der blutigste Krieg sehr ge¬ || mildert werden kan."
