letter,pad,page,kind,german,english,note,ruling
1,001,1,name-check,,Tilsetter Frieden,name reported in the English is not in the German,
1,001,1,unmarked-in-german,1 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
1,001,1,emendation-degrades,Vnß land,Rußland,"In the list ""Österreich, ...land und Preußen"" concerning Saxony and Poland, Russia is the expected third power; Kurrent R/V and u/n confusions would produce thi",
1,001,1,emendation-uncertain,Kurz Mandatarius,Cosmarsche Mandatarius (?),"""Kurz"" may be a personal name or a misreading; unsettled, so left as transcribed.",
1,001,1,emendation-uncertain,Curl Erben,Cur[ländische]? / a family name,"""Curl"" is not otherwise attested in this letter; left as transcribed.",
1a,001a,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
1a,001a,1,marker-check,,2 present,model reported 4 markers but emitted 2,
1a,001a,1,emendation-uncertain,Lebensest,Lebens Rest / allerunterthänigst,"Non-word; possibly a garbled adverbial or ""Rest"" of a formula.",
1a,001a,1,emendation-uncertain,Blad,Blut / Loos,"Non-word; ""das Loos des armen Fürsten"" (the lot of the poor Prince) is the expected object of ""lindern"".",
1a,001a,1,emendation-uncertain,Trąbcziner,Trąbczyner / Trębcziner,Place name in the Koniner district; spelling unverified — carried as transcribed.,
2,002,1,emendation-degrades,gehen Staats Stage mann,Geh. Staats Rath Stägemann,the same official is named 'Geh. Staats Rath Stägemann' on page 2,
2,002,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
2,002,2,emendation-uncertain,Schreitwillen,Schneidersgesellen / Schreiberwillen,wholly conjectural; flagged only to record that the word is corrupt,
2,002,3,name-check,Sachßen,,name in the German is absent from the English,
2,002,3,unmarked-in-german,0 marked,4 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
2,002,3,marker-check,,4 present,model reported 3 markers but emitted 4,
2,002,3,emendation-uncertain,Näße,Rußsche / Russische,"the Empress travelling to Carlsruhe to her mother suits Elisabeth Alexeievna, consort of the Russian Emperor; R/N confusion",
2,002,3,emendation-uncertain,verstatt,verstellt / unter der Decke,conjectural only; recorded to mark the corruption,
2,002,4,glossary-mismatch,Cammer,Chamber,termbase rendering not found in the English,
2,002,4,emendation-degrades,Wun den 9ten Febr. 1815,Wien den 9ten Febr. 1815,the letter is written at Vienna; 'Wun' is presumably a misreading of 'Wien',
3,003,1,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
3,003,1,glossary-mismatch,Gulden,gulden,termbase rendering not found in the English,
3,003,2,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
3,003,2,emendation-uncertain,nicht aprin,nicht a prima / nicht in Papieren,the contrast with cash and with landed property suggests securities or paper,
4,004,1,name-check,,Phelipsborn,name reported in the English is not in the German,
4,004,1,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
4,004,1,marker-check,,5 present,model reported 4 markers but emitted 5,
4,004,1,emendation-uncertain,dritchene Pläne,dritte(?) Plane / leinene Plane,'Plane' = waggon-tilt; the adjective 'dritchene' is not German.,
4,004,2,name-check,,J. Augeit,name reported in the English is not in the German,
4,004,2,unmarked-in-german,0 marked,6 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
4,004,2,marker-check,,6 present,model reported 4 markers but emitted 6,
4,004,2,emendation-uncertain,Eufrchn,Fuhre / Kutsche,context requires a conveyance with 2 horses.,
4,004,2,emendation-uncertain,die Damm,die Dämme / die Damen,unclear whether persons ('the ladies') or a place is meant.,
4,004,2,emendation-uncertain,J Augeit,J. Augustin(?),name-form implausible as transcribed.,
4,004,3,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
5,005,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
5,005,1,marker-check,,1 present,model reported 2 markers but emitted 1,
5,005,1,emendation-uncertain,Smiedecki,Śmiedecki / Niemojewski?,"Prefect of Kalisz; the name may be corrupted, but no confident restoration is offered.",
5,005,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
5,005,2,emendation-uncertain,Betscher,Betscher (place or personal name) — possibly 'Betsche',Name unverified; carried as transcribed.,
6,006,1,unmarked-in-german,1 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
6,006,1,emendation-degrades,diese Itali besten,diese Italiäner,"""besten"" may be part of ""am besten hinderlich""; reading uncertain",
6,006,2,unmarked-in-german,0 marked,8 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
6,006,2,marker-check,,8 present,model reported 6 markers but emitted 8,
6,006,2,emendation-uncertain,kopillen Räthe,Kanzley-Räthe or Kammer-Räthe,plausible official titles; unsettled,
6,006,3,emendation-uncertain,Beugelin,Beuglin / Bäuerlein,"corrupted personal name, reading unsettled",
8,008,1,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
8,008,1,marker-check,,5 present,model reported 3 markers but emitted 5,
8,008,1,emendation-degrades,die Wärmer müßen zu erhängern,die Wärmer müßen zu erhalten [seyn],"""erhalten"" (to maintain) fits a passage about paying for the children's keep; ""erhängern"" is not a word.",
8,008,1,emendation-degrades,kurischen Mandatarius,Curzischen Mandatarius,"Probably the same person as the ""Curz Mandatarius"" named earlier.",
10,010,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
10,010,2,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
10,010,2,glossary-mismatch,Wien,Vienna,termbase rendering not found in the English,
11,011,1,name-check,Sachßen,,name in the German is absent from the English,
11,011,1,name-check,,Triebenfeld,name reported in the English is not in the German,
11,011,1,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
11,011,1,glossary-mismatch,Wechsel,bill of exchange,termbase rendering not found in the English,
11,011,1,emendation-degrades,Churp.,Churpfälzische(n),"Abbreviation with a point; probably 'Churpfälzisch' (Electoral Palatine), but not settled.",
11,011,1,emendation-degrades,10 oder 12 Rthl,10 oder 12 000 Rthl,The parallel clause names 6000 Rthl; the figure as written is implausibly small. Figure left exactly as transcribed.,
11,011,2,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
11,011,2,marker-check,,5 present,model reported 4 markers but emitted 5,
11,011,2,emendation-degrades,Sahkin,Sagan,The 'old Princess of Sagan' fits a Hardenberg-adjacent inheritance context; the reading is however not settled.,
11,011,2,emendation-uncertain,Starben,Starke / Stärke,"Reads as a personal name of a creditor; the form 'Starben' is otherwise the infinitive 'to die', which does not fit.",
11,011,3,unmarked-in-german,0 marked,2 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
11,011,3,emendation-degrades,Gt. Cab. Secret,Geh. Cab. Secret. (Geheimer Cabinets-Secretär),'Geh.' for 'geheim' is the usual abbreviation; 'Gt.' is likely a misread 'Geh.',
11,011,3,emendation-uncertain,einzerhoben,einverleiben / einzuheben,Neither reading is settled; the sense may be that Murat wishes to draw the King of Saxony over to Napoleon.,
12,012,1,unmarked-in-german,0 marked,1 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
12,012,1,emendation-degrades,f. August,Fürst August,'f.' expanded as the abbreviation for Fürst; left as 'Prince August' in the translation but the expansion is conjectural — it could equally be 'Fräulein' or a s,
13,013,1,unmarked-in-german,0 marked,3 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
13,013,1,marker-check,,3 present,model reported 2 markers but emitted 3,
13,013,1,glossary-mismatch,Gulden,gulden,termbase rendering not found in the English,
13,013,1,emendation-degrades,Koachenten / Korchentin / Koschentin,"Koschentin (Koschentin, Upper Silesia) throughout",Three spellings within four lines almost certainly denote one place; not folded into the translation.,
13,013,1,emendation-degrades,Bürben / Barben / Barbe,"one single name, probably Barbe",Page 2 has 'Barbe' twice; the page 1 forms are likely the same person.,
13,013,1,emendation-uncertain,die Elle gutes mittel Tuch kostet über 60 Rthl,possibly 6 Rthl or 60 fl.,60 Rthl per ell is implausibly high against a total of 183 Rthl; figure carried across unchanged as instructed.,
13,013,2,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
13,013,2,marker-check,,5 present,model reported 4 markers but emitted 5,
14,014,1,unmarked-in-german,0 marked,5 marked,the translator marked doubt where the German marks none - candidate silent transcription corruption,
14,014,1,marker-check,,5 present,model reported 4 markers but emitted 5,
