key,pad,page,transcribed,proposed,decision,why
ab6e8407,oe1bu14526-001,1,Breschlau,Breßlau,n,"Same place as ""Breſslau"" two lines earlier, spelled inconsistently; retained as transcribed."
fcaf999f,oe1bu14526-002,8,Geschehen wie über,Geschehen wie oben,n,ruled on; no longer proposed by the translator
238ac433,oe1bu14526-002,9,eines Vater,seines Vaters,n,ruled on; no longer proposed by the translator
51bfc13b,oe1bu14526-002,9,hiesiger Banquier,hiesigen Banquier,n,ruled on; no longer proposed by the translator
25a6c986,oe1bu14526-003,4,rey Schulzen,Frey Schulzen,n,ruled on; no longer proposed by the translator
9a0626f7,oe1bu14526-003,6,in zwo gleich lautenden Muster,in zwo gleich lautenden Exemplarien,n,ruled on; no longer proposed by the translator
0e4bb660,oe1bu14526-003,8,Eichaust,Eichhorst,n,ruled on; no longer proposed by the translator
8ae100a7,oe1bu14526-004,2,rttl,rthl,n,Evident transcription slip for the standard abbreviation.
ff625a5d,oe1bu14526-004,8,Banco Rendant,Banco Director,n,ruled on; no longer proposed by the translator
43843d60,oe1bu14526-005,2,in der Tan,in der Taxe,n,ruled on; no longer proposed by the translator
294f44f0,oe1bu14526-005,4,Höchst Pries,Höchstdemselben,n,ruled on; no longer proposed by the translator
f31b97cd,oe1bu14526-006,10,sie trugen an,sie trugen darauf an,n,ruled on; no longer proposed by the translator
f7091999,oe1bu14526-006,11,Wittow,Witow,n,The holding description gives Witow; kept as transcribed in the translation.
4fa67675,oe1bu14526-006,14,Hawich,(name uncertain),n,ruled on; no longer proposed by the translator
b556a9d7,oe1bu14526-007,6,ein Geträncke,Sein Geträncke,n,ruled on; no longer proposed by the translator
c0f12706,oe1bu14526-007,12,Hawich,(signature; possibly a surname corrupted in transcription),n,ruled on; no longer proposed by the translator
7f173424,oe1bu14526-008,5,Früffrichter,Erbpächter,n,the obligated party in every other paragraph
62ca84ca,oe1bu14526-008,5,binneren,benannten,n,'ausser dem benannten Erbzinße' is the usual formula
d5ae1728,oe1bu14526-009,10,mierądan,nie żądam,n,"Parallel formula on p.13 reads 'ten Protocoll nie ząndem aby był w Polskim Języku przepisany' (I do not demand ...), which agrees with the German waiver."
e0aedfc9,oe1bu14526-010,10,ehörig,gehörig,n,ruled on; no longer proposed by the translator
84287271,oe1bu14526-010,11,F. W. Wollenhaupt,J. W. Wollenhaupt,n,Kurrent J and F are easily confused; the contract names him Johann Willhelm Wollenhaupt.
5e6bde20,oe1bu14526-010,15,Marianton,Marianowo,n,ruled on; no longer proposed by the translator
2353269b,oe1bu14526-012,2,Rechtshafen,sechs Hufen,n,ruled on; no longer proposed by the translator
94e531c6,oe1bu14526-012,4,kommen,Kammer,n,ruled on; no longer proposed by the translator
7c4bf31e,oe1bu14526-014,6,Vormundthännte,Brandtweinbrennerey,n,the propination clause normally names brewery and distillery together
993d8bfe,oe1bu14526-015,6,= 156 Hufe 25 Morgen 9 Ruten,(sum as written),n,ruled on; no longer proposed by the translator
b7fc6c45,oe1bu14526-016,1,Gottfried Damt,Gottfried Dams,n,ruled on; no longer proposed by the translator
7bae016b,oe1bu14526-016,5,Mier frey jahre,vier Freijahre,n,ruled on; no longer proposed by the translator
d247d2f3,oe1bu14526-016,18,Heinrichs,(unsettled),n,ruled on; no longer proposed by the translator
bd30f466,oe1bu14526-017,1,Damt,Dams,n,ruled on; no longer proposed by the translator
92b81fd0,oe1bu14526-017,3,250 schreibe zweihundert Funfzig,250 Rthl,n,ruled on; no longer proposed by the translator
7697136c,oe1bu14526-017,4,Ein Kauf und Zinssin,Ein Kauf- und zinsfrei,n,ruled on; no longer proposed by the translator
4423f794,oe1bu14526-017,4,Sache Reichsthaler,Zehn Reichsthaler,n,ruled on; no longer proposed by the translator
cf15ece9,oe1bu14526-017,5,Auf und lese Holz,Bau- und Leseholz,n,ruled on; no longer proposed by the translator
00e25f2b,oe1bu14526-017,5,Seit jedoch,Sind jedoch,n,ruled on; no longer proposed by the translator
9a3eece8,oe1bu14526-017,6,Amt stehet,Auch stehet,n,ruled on; no longer proposed by the translator
11ec4f9a,oe1bu14526-017,7,Thalenten,Ehegatten,n,ruled on; no longer proposed by the translator
921e4c72,oe1bu14526-017,7,verkennen,der ersten,n,ruled on; no longer proposed by the translator
d6c2c91c,oe1bu14526-017,7,1803,1808,n,ruled on; no longer proposed by the translator
636ac6c1,oe1bu14526-017,8,Subereitung der Laudemium,Zubereitung der Ländereien,n,Preparation of the ground for sowing; 'Laudemium' makes no sense with Aussaat.
1154aee8,oe1bu14526-017,9,vergeklähret,verpflichtet,n,The manorial propination monopoly is normally framed as a duty on the settlers.
9d200fce,oe1bu14526-017,9,Jahrte,Inhaber,n,ruled on; no longer proposed by the translator
6477a1d9,oe1bu14526-017,10,Ueberdung,Übervorteilung,n,ruled on; no longer proposed by the translator
d21d98fd,oe1bu14526-017,10,mört in Göring,Martin Giering,n,The first purchaser in §. preamble is Martin Giering of Racotten; the signature order otherwise matches the list.
20a51230,oe1bu14526-018,24,Betscher Schlüßel,"Betscher Schlüssel (the Betsche 'key', i.e. the estate complex)",n,ruled on; no longer proposed by the translator
03403c7d,oe1bu14526-019,4,rettauflichen,wiederverkäuflich (veräußern),n,ruled on; no longer proposed by the translator
47465f4f,oe1bu14526-019,12,Kranken fuhren,Kranken-Fuhren,n,ruled on; no longer proposed by the translator
00b8cb30,oe1bu14526-019,14,sub paena executiones,sub poena executionis,n,Latin tag as written is ungrammatical; kept unrendered per house rule.
2994c684,oe1bu14526-019,16,verboten hatte,gebothen hatte,n,ruled on; no longer proposed by the translator
96c15172,oe1bu14526-019,19,verboten hatten,gebothen hatten,n,ruled on; no longer proposed by the translator
acd9c821,oe1bu14526-019,19,H. Chmara,J. Chmara,n,Signed 'Jan Chmara' on p.17; Kurrent H/J confusion.
52ab21c8,oe1bu14526-020,1,Brennenhofs Fleis,Brenkenhoffs Fleiß,n,ruled on; no longer proposed by the translator
a8c2c3ea,oe1bu14526-021,3,auf den 23ten April c. dieses Jahres,auf den 23ten April dieses Jahres,n,"""c."" (currentis) and ""dieses Jahres"" are redundant together; retained."
bf045dfc,oe1bu14526-021,4,Bezuer[?] qua Testis,a second witness's surname followed by qua Testis,n,"The reading is marked uncertain in the transcription; likely a signature name, but no settled reading. Left as transcribed."
e76f6854,oe1bu14526-022,1,Ins: 3 g,Insinuation (fee for service of the document),n,Standard chancery fee abbreviation; expansion conjectural.
8e93ad7a,oe1bu14526-022,1,Mund: 2 g,Mundirung (fair copy fee),n,Standard chancery fee abbreviation; expansion is conjectural and is therefore not folded into the translation beyond a bracketed gloss.
6b3a0efc,oe1bu14526-023,5,Ankkorn,Acker(land),n,ruled on; no longer proposed by the translator
35c4b934,oe1bu14526-023,26,Mund: 22 gg.,Mundirung: 22 gg.,n,ruled on; no longer proposed by the translator
6fd868a4,oe1bu14526-024,1,Hinder,Hinderniß,n,ruled on; no longer proposed by the translator
a4da7fcb,oe1bu14526-024,1,gewordenen Bekanntmachung,ergangenen Bekanntmachung,n,ruled on; no longer proposed by the translator
45af8adf,oe1bu14526-024,2,lege,legen,n,ruled on; no longer proposed by the translator
c95732fa,oe1bu14526-025,2,mittel Riegel[?],Mittelriegel,n,ruled on; no longer proposed by the translator
737e71f8,oe1bu14526-026,1,Glencke,Glenck,n,ruled on; no longer proposed by the translator
4d62961e,oe1bu14526-026,2,p. Raczinski,p. Brzezinski,n,ruled on; no longer proposed by the translator
eec9b744,oe1bu14526-028,2,Der alten kranken Zeugen,Dem alten kranken Zeugen,n,Dative singular would fit the following singular 'er'; a single-letter confusion in the transcription.
b38dde97,oe1bu14526-029,1,binnen S. Wochen,binnen 6 Wochen,n,"The six-week statutory term for exercising a Vorkaufsrecht under Prussian law; a Kurrent ""6"" is easily read as ""S."" Not folded into the translation."
3255468d,oe1bu14526-029,1,vom 28ten Septbr. c. a.,vom 28ten Septbr. p. a. (praeteriti anni),n,"The letter is dated 10 April 1805, so a contract of 28 September ""of this year"" would post-date it; ""c. a."" may be a misreading of ""p. a."" Left as transcribed."
ed6a12d8,oe1bu14526-029,1,Rzadkowski,Rządkowski,n,ruled on; no longer proposed by the translator
14f76a01,oe1bu14526-030,1,mänlichen,benannten,n,A Kurrent reading of 'benannten'/'gemeldten' would fit the formula 'Von welcher benannten Hufe Acker'; 'mänlichen' otherwise makes little sense of a Hufe.
39d5734f,oe1bu14526-030,2,Ginlily,unclear — possibly a notarial signature such as 'Gniliński',n,ruled on; no longer proposed by the translator
3b63673b,oe1bu14526-031,1,Złt Polę Sto Trzydzieści,Złt Polsk. Sto Trzydzieści,n,ruled on; no longer proposed by the translator
50317126,oe1bu14526-031,1,Na Tłuki,na tłoki,n,ruled on; no longer proposed by the translator
6d861806,oe1bu14526-031,2,Rzplity,Rzeczypospolitej,n,ruled on; no longer proposed by the translator
b9d70e8d,oe1bu14526-032,1,Orzeskowo,Orzeszkowo,n,The place of writing is given in the edition's heading as Orzeszkowo; the manuscript here reads Orzeskowo. Carried across as written.
