letter,page,line,next_line,mark,head,tail,joined,decision,confidence,reason,crosses_page,joined_corpus,joined_dwds,head_corpus,head_dwds,tail_corpus,tail_dwds,context
2,1,44,45,¬,re,girenden,regirenden,join,high,joined form occurs elsewhere in this corpus,False,2,,5,,1,,deiner hochfürstlichen Durchlaucht des re¬ || girenden Herrn Fürsten zu Hohenlo¬
2,1,45,46,¬,Hohenlo,he,Hohenlohe,join,high,joined form occurs elsewhere in this corpus,False,90,,0,,3,,girenden Herrn Fürsten zu Hohenlo¬ || he Ingelfingen Herrn Forst-Inspec¬
2,1,46,47,¬,Inspec,tor,Inspector,join,high,joined form occurs elsewhere in this corpus,False,8,,0,,3,,he Ingelfingen Herrn Forst-Inspec¬ || tor Rochlitz als Verkäufern an
2,1,48,49,¬,Hon,richs,Honrichs,join,high,joined form occurs elsewhere in this corpus,False,6,,0,,1,,einem und dem Herrn Martin Hon¬ || richs und Herrn Valentin v. Kwasie¬
2,1,49,50,¬,Kwasie,borski,Kwasieborski,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,"richs und Herrn Valentin v. Kwasie¬ || borski, als Käufern am andern"
2,1,53,54,¬,ge,richtlichen,gerichtlichen,join,high,joined form occurs elsewhere in this corpus,False,7,,6,,1,,abzuschließenden förmlichen ge¬ || richtlichen Kauf und Verkauf-Con¬
2,1,54,55,¬,Con,tracts,Contracts,join,high,joined form occurs elsewhere in this corpus,False,48,,0,,2,,richtlichen Kauf und Verkauf-Con¬ || tracts nachstehende Punctation
2,1,56,57,¬,wohlbedach,tig,wohlbedachtig,join,high,head is not a word on its own,False,0,0,0,0,4,,"unterm heutigen dato wohlbedach¬ || tig verabredet, und abgeschloßen"
2,1,65,66,¬,Kal,schen,Kalschen,split,high,joined form unattested; both halves are real words,False,0,0,0,13357,3,33740,Principal im Königl. Südpreysch. Kal¬ || schen Regierungs Departement
2,1,67,68,¬,bele,gene,belegene,join,high,joined form occurs elsewhere in this corpus,False,2,,0,,2,,und dessen Wartaschen Creise bele¬ || gene adeliche Guth und zwar Dorf
2,1,69,70,¬,zu,behörigen,zubehörigen,split,high,joined form unattested; both halves are real words,False,0,7,610,403356332,1,8,und Scholtisey Witow mit allem zu¬ || behörigen Rechten und Gerechtlichkeiten
2,1,72,73,¬,Donations,Urkunde,DonationsUrkunde,split,high,joined form unattested; both halves are real words,False,0,21,2,575,8,734383,solches gemäs Allerhöchster Donations¬ || Urkunde des höchstseeligen Königs Frie¬
2,1,73,74,¬,Frie,dricht,Friedricht,split,high,joined form unattested; both halves are real words,False,0,32,0,7600,1,8,Urkunde des höchstseeligen Königs Frie¬ || dricht
2,1,74,76,,dricht,drichs,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,dricht || drichs Willhelms des Zweyten dem
2,2,82,83,¬,Va,lentin,Valentin,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,"Herrn Martin Honrichs und Va¬ || lentin v Kwasieborski, und zwar"
2,2,87,88,¬,Reichs,thaler,Reichsthaler,join,high,joined form occurs elsewhere in this corpus,False,38,,30,,42,,schreibe sechszehn Tausend Reichs¬ || thaler Preußl. Courant
2,2,92,93,¬,nächste,henden,nächstehenden,split,high,joined form unattested; both halves are real words,False,0,6,3,18510778,2,1019,"seiner hochfürstl. Durchlaucht in nächste¬ || henden Ratis zu bezahlen, nämlich"
2,2,100,101,¬,Rückstan,des,Rückstandes,join,high,"joined form attested in DWDS (1,155,118 hits)",False,0,1155118,0,,272,,zur völliger Bezahlung des Rückstan¬ || des aber solchen mit 5 procent zu ver¬
2,2,101,102,¬,ver,zinsen,verzinsen,join,high,joined form occurs elsewhere in this corpus,False,1,,3,,23,,des aber solchen mit 5 procent zu ver¬ || zinsen.
2,2,107,109,,tradition,Tradition,,catchword,high,unmarked catchword: the page ends with the word the next page begins,True,,,,,,,tradition || Tradition zu übergebenden Grund
2,3,112,113,¬,War,ta,Warta,join,high,joined form occurs elsewhere in this corpus,False,1,,8,,2,,"so von der Bürgerschaft zu War¬ || ta evincirt werden können, und"
2,3,115,116,¬,Evi,tion,Evition,split,high,joined form unattested; both halves are real words,False,0,0,0,106593,7,13611,"durchlaucht befinden wird keine Evi¬ || tion geleistet, sondern es bleibt"
2,3,117,118,¬,dies,fälligen,diesfälligen,join,high,joined form occurs elsewhere in this corpus,False,2,,6,,1,,der Käufer Sache allein die dies¬ || fälligen Aecker auf ihre ganz
2,3,119,120,¬,vin,diciren,vindiciren,split,high,joined form unattested; both halves are real words,False,0,0,0,12588,1,0,"eigene Gefahr und Kosten zu vin¬ || diciren, wogegen indessen dener¬"
2,3,120,121,¬,dener,hochfüßl,denerhochfüßl,split,high,joined form unattested; both halves are real words,False,0,0,3,2437,1,0,"diciren, wogegen indessen dener¬ || hochfüßl. demnacht sich an die Bau¬"
2,3,121,122,¬,Bau,fer,Baufer,split,high,joined form unattested; both halves are real words,False,0,0,17,4421760,9,18749,hochfüßl. demnacht sich an die Bau¬ || fer aller Ansprüche begeben;
2,3,123,124,¬,ge,gen,gegen,join,high,joined form occurs elsewhere in this corpus,False,24,,6,,40,,wenn sie diese Skladen Acker ge¬ || gen die Bürgerschaft zu Warta
2,3,128,129,¬,verkauf,ten,verkauften,join,high,joined form occurs elsewhere in this corpus,False,2,,18,,141,,die Uebergabe dieses verkauf¬ || ten Guths an die Käufer soll 14
2,3,138,139,¬,Vieh,und,Viehund,split,high,joined form unattested; both halves are real words,False,0,5,9,122739,1506,1133103472,jenige Grund zuverloren und Vieh¬ || und Geratschaften mit übergeben
2,4,143,144,¬,Knob,lauch,Knoblauch,join,high,joined form occurs elsewhere in this corpus,False,1,,0,,1,,Receß abseiten des Pächter Knob¬ || lauch an den v Bloch auf Blotniz
2,4,148,149,¬,mit,genommenen,mitgenommenen,join,high,"joined form attested in DWDS (12,492 hits)",False,0,12492,193,,6,,July an Pferden und Ochsen mit¬ || genommenen plus Inventarii
