letter,pad,page,kind,german,english,note,ruling
1,001,1,unparseable,daß der Begrif jezt schreib beendiget werden dürfe,,"""Begrif"" and ""schreib"" cannot both be accommodated; no coherent reading of the clause as transcribed.",
1,001,1,unparseable,Noch ehegeßern hat den Kurz Mandatarius dies versichert,,"case of ""den Kurz Mandatarius"" wrong for the subject; ""Noch ehegeßern"" for ""nur ehegestern""/""noch ehegestern"" undetermin",
1,001,1,unparseable,daß er diese Vorschuß gemühet den bey ich mit dem König und mit die Curl Erben a,,"""gemühet den bey ich ... auseinander"" has no verb structure; syntax collapses.",
1,001,1,unparseable,und bin aus dem Kleinen des Cosmars gerettet,,"""dem Kleinen"" makes no sense with ""gerettet aus""; word evidently corrupt.",
1,001,1,unparseable,und es die Sache auf Recht und Billigkeit gestüzt,,missing finite verb (ist).,
1,001,1,unparseable,Der König hat mir die Güter selbige mittelst Urkunde die Sie dort haben (verlieh,,"doubled object ""die Güter selbige"" and an unclosed parenthesis; the verb ""verliehen"" is displaced.",
1,001,1,unparseable,und ich darf nicht fernerhin hängern,,"""hängern"" is not a German verb.",
1,001,1,flagged,eine sichere Amerisung auf die hundert Tausend rttl.,a secure [instruction/order to pay] upon the hundred thousand Rthl,"alt: a secure dismissal/refusal (Abweisung) upon the hundred thou | ""Amerisung"" is a corrupt form; it stands closest to Anweisung (order to pay), but Abweisung ",
1,001,1,flagged,und dies ist es ja nur wenn sich immer die Majorats Güter einzinsicht hat,"and this is indeed the only thing, if the entailed estates always [uncertain: ei","alt: ""...provided that the entailed estates are made liable to in | ""einzinsicht hat"" has no grammatical resolution; two quite different senses are possible.",
1,001,1,flagged,daß nur die Güter wieder eingeräumt,that the estates be restored to me,"alt: ""that only the estates be restored"" — reading ""nur"" as ""only | The same substitution appears earlier (""daß nur die Güter"", ""Er scheidet sogleich von die Ma",
1,001,1,flagged,und die Pohlen nahmen nur ſelbige 14 Wochen nach den Tilſetter Frieden,and the Poles took the same away arbitrarily only 14 weeks after the Peace of Ti,"alt: ""...took the same away from me 14 weeks after..."" (nur = mir | Both readings are fluent and the temporal claim differs in force.",
1,001,1,flagged,Mit den 13 Januar habe ich keine Nachricht von Ihnen,Since the 13th of January I have had no news from you,"alt: ""With the 13th of January I have no news from you"" — i.e. as | ""Mit"" for ""seit"" is idiomatic but the date's role (last letter received vs. cut-off) is ambi",
1,001,1,watchlist-spotcheck, Herr Krieges und Forst Rath! Vor wenig Stunden erhielt ich von,,"random sample on ""vor"" - not a suspected error, a probe on under-flagging",
1a,001a,1,unparseable,Höchst denenselben Lebensest zu Füßen zu legen,,"""Lebensest"" is not a word; the phrase has no construable object, and ""Höchst denenselben"" lacks a governing preposition.",
1a,001a,1,unparseable,läßt sich kein Bildentwurf,,"verb phrase incomplete — ""kein Bildentwurf"" has no predicate (expected e.g. ""machen"" or ""entwerfen"").",
1a,001a,1,unparseable,und ländern des Blad des armen Fürsten,,"""ländern"" and ""Blad"" are both non-words; the intended verb and its object cannot be settled.",
1a,001a,1,unparseable,(eine welcher Willen sich Cosmar in die Majorats Güter allein eingedrängt,,"""eine welcher Willen"" is ungrammatical and the parenthesis is never closed.",
1a,001a,1,unparseable,auch selbst Sr Majestät kommen ex nexa,,"""Sr Majestät"" (dative/genitive singular) with plural verb ""kommen""; ""ex nexa"" is not a well-formed Latin phrase in this ",
1a,001a,1,unparseable,und erhalten bey die großen Fonds der Majorats Güter der Vorsitzung von 112000 R,,"""bey"" with accusative and ""der Vorsitzung"" (non-word, in the wrong case) leave the sentence without a construable object",
1a,001a,1,flagged,gnädigste Weisung,most gracious instruction,"alt: most gracious direction/order to pay (cf. Anweisung) | ""Weisung"" here is not the Anweisung/Abweisung pair itself, but stands one minim from ""Anweisung""; th",
1a,001a,1,flagged,es vogt ... zu Füßen zu legen,that I [uncertain: bailiff/venture] ... to lay at the feet,"alt: that I venture (wage/dare, ""wagt""/""wage"") to lay at the feet | ""vogt"" is not a finite verb form that governs the infinitive; two readings (Vogt = bailiff; ",
1a,001a,1,flagged,dieses alten beiden Mannes,this old [both/two] man,"alt: this old, blind man (blinden) / this old, suffering man (lei | ""beiden"" cannot agree as an attributive with a singular genitive; the underlying adjective i",
1a,001a,1,flagged,darst nicht mehr hängern,need [hang/languish] no longer,"alt: need no longer languish (hungern = to go hungry) | ""hängern"" is not a German verb; hängen (to hang) and hungern (to starve) are both one letter away.",
1a,001a,1,watchlist-spotcheck,"n Fürsten, durch den Vorschuß von 112000 Rthl Nur dadurch ist d",,"random sample on ""von"" - not a suspected error, a probe on under-flagging",
2,002,1,unparseable,an Gm. Schöler auf eins der Paranquetter wegen Trąbczin geſchrieben,,'auf eins der Paranquetter' yields no construable sense; 'Paranquetter' is not a recognisable word or name,
2,002,1,unparseable,an den gehen Staats Stage mann,,"words run together and broken; 'gehen' presumably an abbreviation, 'Staats Stage mann' not construable as written",
2,002,1,unparseable,J habe Ihnen geschrieben durch wenn die größten labalen geschmiedet werden.,,'durch wenn' and 'labalen' do not parse; the agent and the object of 'geschmiedet' cannot be recovered,
2,002,1,flagged,Da ich den Inhalt des Berichtes längst des Brüger OC Gerichts ſchon ſeit 3 Woche,"Since I have long known the substance of the report along the Brüger OC court, t",alt: Since I have known the substance of the report of the Brüger | ambiguous syntax in transcription,
2,002,1,flagged,keine Briefe von mir erhalten wollen haben,claims to have received no letters from me,alt: have (allegedly) received no letters from me | modal construction unclear,
2,002,1,flagged,"ich habe angezeigt, daß ich an den gehen Staats Stage mann auf gleiche Weiſe ein",I have reported that I gave a letter of thanks in like manner to the [uncertain:,alt: ... that I gave a letter of thanks in like manner to the Pri | corrupted proper noun,
2,002,1,flagged,und daß man vieleicht da hoffe dürfe,and that perhaps one may hope thereby,alt: and that perhaps one may hope there / then | particle ambiguous,
2,002,2,unparseable,Lange ging ich wie ein Laupenhänd,,'Laupenhänd' is not a German word and cannot be construed; the simile is lost,
