letter,pad,page,kind,german,english,note,ruling
1,001,1,transcription-note,Begrif jezt schreib beendiget,Congreß jezt schier beendiget,"The subject under discussion is the Congress; ""schier beendiget"" = almost concluded.",
1,001,1,transcription-note,Amerisung,Anweisung,An order to pay drawn on the hundred thousand Rthl fits the mandatary's condition; but see flagged entry — Abweisung is one minim away.,
1,001,1,transcription-note,Baur,bar,"""12000 Rthl bar"" (in cash) is the standard formula alongside an Anweisung for the remainder.",
1,001,1,transcription-note,hängern,hungern,"""nicht fernerhin hungern"" (no longer go hungry) suits the writer's plea of destitution.",
1,001,1,transcription-note,Kleinen des Cosmars,Klauen des Cosmars,"""aus den Klauen gerettet"" (saved from the clutches) is the idiom.",
1,001,1,transcription-note,gemühet,gewähret,"Parallel to the earlier ""den Vorschuß von 112000 Rthl gewähren"".",
1,001,1,transcription-note,Brüger O. L. Gerichts,Brieger O. L. Gerichts,"Same court named ""Brieger Ober Landes Gericht"" earlier in the letter; spelling left as transcribed in the translation.",
1,001,1,transcription-note,seine Executori hört auf,seine Execution hört auf,"""Executori"" is not a nominative form; the sense is that the execution ceases.",
1,001,1,transcription-note,nuß,muß,m/n confusion in Kurrent.,
1,001,1,transcription-note,rembocersirt,remboursirt,French remboursé — reimbursed.,
1,001,1,transcription-note,Krieges und Forst Rath,Kriegs- und Forstrath,Orthographic variant of the addressee's title; retained as transcribed.,
1a,001a,1,transcription-note,vogt,wage,"""ich es wage ... zu legen"" is the expected idiom; Kurrent w/v and g/g confusion is common.",
1a,001a,1,transcription-note,beiden,blinden,"""dieses alten blinden Mannes"" would agree and fits ""er leidet unaussprechlich"".",
1a,001a,1,transcription-note,ländern,lindern,"""lindern"" (to alleviate) fits the appeal for mercy; e/i confusion.",
1a,001a,1,transcription-note,der Vorsitzung,den Vorschuß,"""Vorschuß"" appears earlier in the same sense (advance of 112000 Rthl).",
1a,001a,1,transcription-note,hängern,hungern,"""darf nicht mehr hungern"" (need no longer starve) suits the register of distress.",
1a,001a,1,transcription-note,ex nexa,ex nexu,"Legal Latin ""ex nexu"" (out of the bond/obligation) is the expected form.",
1a,001a,1,transcription-note,eine welcher Willen,in deren Willen / um welcher willen,"""um welcher willen"" (on whose account) would make the relative clause parse.",
2,002,1,transcription-note,Mußland,Rußland,'M' for 'R' is a common Kurrent confusion; the districts in which the estates lie falling to Russia fits the 1815 partition of the Duchy of Warsaw,
2,002,1,transcription-note,labalen,Cabalen,'die größten Cabalen geschmiedet werden' (the greatest intrigues are being forged) is idiomatic; C/l confusion in Kurrent,
2,002,1,transcription-note,durch wenn,durch wen,'by whom' - single-letter doubling,
2,002,1,transcription-note,Brüger OC Gerichts,Brieger Ober-Landes-Gerichts,cf. 'Bruger Ober Landes Gericht' on page 4; the town may be Brieg,
2,002,2,transcription-note,geschickter,geschildert,'meine unbegränzte Noth ... geschildert' (described my boundless distress) fits the syntax; 'geschickter' leaves the clause without a verb,
2,002,2,transcription-note,zu schaden,zu schicken,d/ck confusion in Kurrent; 'to send 200 ducats' is the obvious sense of the repeated request,
2,002,2,transcription-note,Laupenhänd,Lumpenhund,parallel to 'Bettelhund' above; 'like a ragamuffin' fits 'now at least I have clothes on my body',
2,002,2,transcription-note,angerahmen,ungerochen,'ungerochen untergehen' = 'go under unavenged' suits the oath by God,
2,002,3,transcription-note,Narken,Nur kan,restores a finite verb ('he can only dispose of...'); N/Nur and k/rk confusions in Kurrent,
2,002,3,transcription-note,stehen,sehen,"'man wird nun sehen, was Wellington erklären wird' is idiomatic; st/s confusion",
2,002,3,transcription-note,Schlawenschl,Schlawentzitz,a Hohenlohe-Ingelfingen holding in Upper Silesia; the transcribed form is not a known place,
2,002,4,transcription-note,lachirte,cassirte,'aufheben und cassiren' is the standard formula for revoking a power of attorney,
2,002,4,transcription-note,J. Aequit,junge Fürst,the same actor is called 'der junge Fürst' two sentences later,
2,002,4,transcription-note,Justiz Ministerzen,Justiz-Ministerium,the addressee list otherwise consists of courts and ministries,
2,002,4,transcription-note,Fachßen,Sachßen,F/S confusion in Kurrent; Oppurg lies in the Saxon-Thuringian jurisdictions,
2,002,4,transcription-note,schenk,schnell,cf. 'auf das schleunigste' earlier on the page; n/k confusion,
2,002,4,transcription-note,Decan,Ducaten,the sum of 200 ducats is requested on page 2 in the same terms,
3,003,1,transcription-note,Tobolckis Wüsten,Tobolsks Wüsten,the Siberian exile-topos points to Tobolsk; the transcribed form looks like a Kurrent misreading,
3,003,1,transcription-note,hoffen Rath,Hofrath,"""Geheimer Hofrath"" is a standing title; ""hoffen Rath"" is a plausible Kurrent misdivision",
3,003,1,transcription-note,die 200 ff,die 200 fl,"elsewhere in the letter the Viennese unit is written fl.; ""ff"" is likely a misreading",
3,003,1,transcription-note,Mükreise,Rückreise,"""return journey"" is required by ""den er kehrt nicht über Dresden zurück""",
3,003,2,transcription-note,die Recenzen,die Revenüen,"the question ""where have the ... gone"" after a valuation of estate income suggests revenues",
3,003,2,transcription-note,die Gäntz Majorats Güter,die ganzen Majorats Güter,"""Gäntz"" appears to be a misreading of ""ganzen""",
3,003,2,transcription-note,die Cantonikan,die Caution kann,the passage concerns the form the security is to take,
3,003,2,transcription-note,3) Hans Muß er,3tens muß er,"the enumeration elsewhere runs 1, 2, 4tens; ""Hans"" stands where an ordinal belongs",
3,003,2,transcription-note,Kenntnis vom Hütten fache,Kenntnis vom Hüttenfache,"read as the ironworks/smelting branch, consistent with the Hohenlohe works",
3,003,2,transcription-note,über Schlawen etwas gehen sol,über Schlawentzitz gehen soll,the Hohenlohe Upper Silesian seat; but the transcription is left as written,
4,004,1,transcription-note,Baselich,Basilisk,Kurrent 'sk' misread; the basilisk-head image is a commonplace.,
4,004,1,transcription-note,Livn,Lyon,Grenoble and Lyon fell to Napoleon in March 1815; 'Livn' is not a place.,
4,004,1,transcription-note,Marsena,Massena,"Marshal Masséna, plausible in this context.",
4,004,1,transcription-note,Phelipsborn,Philippsborn,appears as 'Philipshorn' on p. 2; the name is unstable across pages.,
4,004,2,transcription-note,Es wüste dies aber sehr völlig geschehen,Es müßte dies aber sehr [bald] geschehen,'müßte' for 'wüste' is a single-letter confusion; the sense requires urgency.,
4,004,2,transcription-note,Genuß wird man,Gewiß wird man,Kurrent 'w'/'n' confusion; 'gewiß' fits the sentence.,
4,004,2,transcription-note,schaden Euer Durchlaucht mit noch,schulden Euer Durchlaucht mir noch,the following clause about needing more blank forms requires 'owe me'.,
4,004,3,transcription-note,gestangen,gefangen,'captured' fits the ebb-and-flood-of-rumour antithesis with the next clause.,
4,004,3,transcription-note,Canaike,Canaille,the writer glosses 'gemeinste Classe' with the standard term.,
4,004,3,transcription-note,Nace,Nation,'wie diese Nation dorten denckte'.,
4,004,3,transcription-note,H. Groß Fürst,Herr Groß Fürst (the Grand Duke Constantine?),identity not established; left as transcribed.,
5,005,1,transcription-note,ledirt,cedirt,"The sentence turns on a 'Caesion'; 'cedirt' (ceded) would make the clause coherent, and c/l are easily confused in Kurrent.",
5,005,1,transcription-note,der Bä sowicht,der Bösewicht,A single word 'Bösewicht' (villain) fits the invective and the letter-shapes.,
5,005,1,transcription-note,habe ich ganz gewann,habe ich ganz gewonnen,'I have quite won over the Prefect' fits the following clause about his favourable report.,
5,005,1,transcription-note,Poellerey,Prahlerey / Pralerey,"'Prahlerey' (boasting, bluster) fits the invective; unattested 'Poellerey' may be a misreading.",
5,005,1,transcription-note,Dieherey,Diebherey / Dieberey,'Dieberey' (thievery) is the standard form.,
5,005,1,transcription-note,Bischdorffer / Beschdorffer,one consistent place-name,"The same place appears twice with different first vowels; one spelling is a misreading, but which cannot be settled here.",
5,005,2,transcription-note,Bau,treu- (as in 'treu unterthänigster Diener'),A word is expected here qualifying 'unterthänigster Diener'; 'Bau' is not one.,
5,005,2,transcription-note,In tiefer Ehrfurcht,In tiefster Ehrfurcht,The standing closing formula in this correspondence is superlative.,
6,006,1,transcription-note,das Dedomagement,Dedommagement,"French dédommagement (indemnification), commonly so spelled in the correspondence",
6,006,1,transcription-note,Starasten,Starosteyen,Polish starosties; Kurrent -st-/-r- confusion,
6,006,1,transcription-note,kopillen Räthe,Kupillen / Kanzlei Räthe,occurs on p.2; noted here for consistency,
6,006,2,transcription-note,Leichen ähnlich,Leichenähnlich,compound: 'corpse-like',
6,006,2,transcription-note,Mann combenirte,man combinirte,'one combined/put together the circumstances',
6,006,2,transcription-note,Enphrodite,Aphrodite,the goddess; Kurrent A/E confusion. Not folded into translation: rendered as given elsewhere in names list,
6,006,2,transcription-note,Churischen Erben / Curische Angelegenheit / Carische Erkennen,Curische Erben throughout,three spellings of what appears to be one party,
6,006,2,transcription-note,ala bonheuri,à la bonne heure,French idiom 'well and good',
6,006,3,transcription-note,St.,Stägemann,abbreviation resumes the person named on pp. 1–2; left unexpanded in the translation,
6,006,3,transcription-note,Marconetten,Marionetten,evident spelling slip,
6,006,3,transcription-note,Winzingeroden,Wintzingerode,the Hanoverian/Russian family name is usually so spelled; carried as written,
6,006,3,transcription-note,tren gehorſame Diener,treu gehorsamster Diener,the closing formula appears truncated,
7,007,1,transcription-note,Eus kurtz laucht Gnade,Ew. Durchlaucht Gnade,Kurrent misreading of the standard honorific.,
7,007,1,transcription-note,beruht worden bin,beehrt worden bin,"""mit einer Antwort beehrt werden"" is the standard formula.",
7,007,1,transcription-note,deiller,dritter,"An ordinal is required; ""dritter Brief"" fits the sense (a third letter).",
7,007,1,transcription-note,Dreißigkeit,Dreistigkeit,"Single-letter confusion; ""Dreistigkeit treiben"" is idiomatic.",
7,007,2,transcription-note,Drehl aucht,Durchlaucht,"Standard honorific, misread from Kurrent.",
7,007,2,transcription-note,Klape,Klagen,"Fits ""beschwerlich fallen"" and the following relative clause about the effort it costs her.",
7,007,2,transcription-note,verſamme,verharre,"The standing subscription formula ""Mit der tiefsten Ehrfurcht verharre ich"".",
7,007,2,transcription-note,Mit den tiefſten Ehrfurcht,Mit der tiefsten Ehrfurcht,Gender/case slip in the transcription or the original.,
8,008,1,transcription-note,Dölchen Seiche sind nur die Klagelieder,Dolchenstiche sind mir die Klagelieder,"""Stiche""/""Seiche"" and ""mir""/""nur"" are each one minim apart in Kurrent; the emended reading gives the standard metaphor ""the lamentations are dagger-thrusts to m",
8,008,1,transcription-note,Seine und Glieder mögte mir erlahmen,Sehnen und Glieder möchten mir erlahmen,"""Sehnen und Glieder"" is a fixed pair; ""Seine"" has no sense here.",
8,008,1,transcription-note,heugern,hungern,"Context (children in want, money for their keep) requires ""starve"".",
8,008,1,transcription-note,Papme,Papiere,"The following plural verb ""die ſind"" agrees with ""Papiere"", and papers being needed ""only there"" fits the business context.",
8,008,1,transcription-note,einen von 25 um 27ten Novbr.,einen von 25 und 27ten Novbr.,"""3 Briefe"" requires three dates; u/n confusion is common in this hand.",
8,008,1,transcription-note,in Ehrentwillen,um Ihrentwillen,The same phrase occurs correctly earlier in the letter; single-letter confusion.,
8,008,1,transcription-note,Mann schweizt gewalt den Wochen,Man schwitzt gewaltig die Wochen,"Normalises to a construable clause without changing the sense of ""sweating""; but ""schweigt"" (keeps silent) is an equally close alternative and cannot be exclude",
