canonical,variant,count,kind,distance,letter,page,scan,context
Berlin,Berti,1,place,0.4,224,2,Oe_1_Bu_9454_0424_a1-L224_02.jpg,ziehung er dann gerne mitwirken werde. Nach Berti
Breslau,Breclau,1,place,1.0,22,2,Oe_1_Bu_9454_0036_a1-L22_02.jpg,"schon in Breclau und Pohlen, am 500 Rthl Ich habe es gelitten geduldet"
Breslau,Brulau,1,place,1.2,74a,1,Oe_1_Bu_9454_0155_a-L74a_01.jpg,Ingelfingen de dato Brulau d. 1ten Juny 1804 an ihm den von Triebenfel
Glenck,Gleich,11,person,0.8,89,3,Oe_1_Bu_9454_0186_a2-L89_03.jpg,Gleich hatt einen 9 Jährigen Pacht Contract und zahlt
Glenck,Gleich,11,person,0.8,104,2,Oe_1_Bu_9454_0216_a1-L104_02.jpg,"gewicht halten, Apröbaret – das Gleich gewicht also ent‗"
Glenck,Gleuch,1,person,0.8,179,5,Oe_1_Bu_9454_0338_b-L179_05.jpg,Übrigens tröste ich mich damit daß Hr. Gleuch diese Sache mit seinem J
Glenck,Gleiches,1,person,0.8,179,5,Oe_1_Bu_9454_0338_b-L179_05.jpg,"Gleiches ein Ende zu machen ihm die 8000 Rthl Lub. specrati zugesagt, "
Honrichs,Henrichs,6,person,0.4,31,2,Oe_1_Bu_9454_0056_a1-L31_02.jpg,"eine General Vollmacht geschickt, wie soll das nun redvissirt werden. "
Honrichs,Henrichs,6,person,0.4,63,2,Oe_1_Bu_9454_0119_a1-L63_02.jpg,"Provisorisit gabe ich Henrichs dazu die Vollmacht, aber ich muß"
Trąbczyn,Trabezyner,1,place,1.2,30,3,Oe_1_Bu_9454_0054_a2-L30_03.jpg,"Trabezyner Güter zurükgegeben werden, und wäre"
Trąbczyn,Trąbzyn,1,place,0.8,177,3,Oe_1_Bu_9454_0331_a2-L177_03.jpg,"membration bey Zagorowo, und Trąbzyn entstehen."
Trąbczyn,Trąbczner,1,place,1.0,215,1,Oe_1_Bu_9454_0401_b-L215_01.jpg,"ad 4. die Lage der Zagorower und Trąbczner Güter betrifft, so muß"
Kontop,Contop,1,place,0.4,38,1,Oe_1_Bu_9454_0071_b-L38_01.jpg,Holz und Bretter aus Contop - dadurch werden die 4176 Rthl getilgt wer
Kontop,Kontip,1,place,1.0,42,5,Oe_1_Bu_9454_0079_b-L42_05.jpg,"Kontip los werden soll, und gelänger ich hier sezige"
Meyer,Meyr,1,person,0.8,108,2,Oe_1_Bu_9454_0224_a1-L108_02.jpg,der Lern los + den ersten will Lupman Meyr den 20000 Rthl haben -
Hohenlohe,Hohenloheschen,1,unknown,0.8,303,1,Oe_1_Bu_9454_0542_a-L303_01.jpg,Auszug aus Den Fürstlich Hohenloheschen Liquidations Protocollen
Warschau,Warschauz,1,place,0.8,48,1,Oe_1_Bu_9454_0092_a-L48_01.jpg,Ich habe den Justiz Bürgermeister Hawich aus Zagorowo der als würklich
Schlawenschitz,Schlawenschütz,2,place,1.0,220,2,Oe_1_Bu_9454_0413_a1-L220_02.jpg,"nach Schlawenschütz gekommen, aber ich muß absolut nach"
