letter,line,decision,confidence,cue,ratio,prev_len,page_measure,prev_line,context
1,29,break,high,short_line,0.3,17,57,sprechen möchten.,Es werden diesen Wittowes Acten schon lange in der Trąbczyner
1,32,break,high,short_line+column,0.6,34,57,Es sind aber solche beym Ausziehen,daß sie liegen würden.
1,33,break,high,short_line,0.39,22,57,daß sie liegen würden.,von meinem Logis zu Breſslau nach Wilhelmsruh unter den
2,59,break,high,short_line,0.22,7,32,werden.,Es verkaufet der gedachte
2,89,run,review,short_line,0.65,22,34,thaler Preußl. Courant,2: dieses Kauf-Pretium verbinden sich
2,103,break,high,rubric+short_line,0.21,7,34,zinsen.,3.
2,127,break,high,rubric,0.94,29,31,zum Theil erstreiten sollten.,4.
2,136,break,high,rubric+short_line,0.65,20,31,nicht erfolgen kann.,5.
2,154,break,high,rubric+short_line,0.45,14,31,werden können.,6. Verspricht Herr Verkäufer der Con¬
2,161,break,high,rubric+short_line,0.48,15,31,ge Kauf zurück.,7. Sollte die Final Resolution we¬
2,217,break,high,rubric,0.76,22,29,gezahlt werden müssen.,8. Wird den Käufern das Guth mit
2,225,break,high,rubric+short_line,0.66,19,29,Sümmerung erwarten.,9. die dieses Guth betreffenden
2,230,break,high,rubric,1.0,29,29,Frühige mit extradiret werden,10.
2,249,break,high,rubric+short_line,0.61,19,31,verbunden seyn soll,11. die Kosten dieses Contracts
2,255,break,high,short_line,0.23,7,31,allein.,Beyde Theile haben diese von
2,264,break,high,short_line+column,0.67,24,36,gängiger Genehmigung dem,ihre eigenhändige Nahmens
2,265,break,high,short_line+column,0.69,25,36,ihre eigenhändige Nahmens,Unterschriften willzogen.
2,266,break,high,short_line,0.69,25,36,Unterschriften willzogen.,Kalisch den 21ten April: 1803.
2,276,break,high,salutation,0.75,27,36,besonders abzufinden haben.,Geschehen wie über¬
2,279,break,high,short_line+column,0.42,15,36,Martin Honrichs,Walęty v Kwasiborski
2,280,break,high,short_line+column,0.56,20,36,Walęty v Kwasiborski,Carl Anton Grimm
2,281,break,high,short_line+column,0.44,16,36,Carl Anton Grimm,Stanisław Szymanowski
2,282,break,high,short_line+column,0.58,21,36,Stanisław Szymanowski,als Zeuge
2,283,run,review,short_line,0.25,9,36,als Zeuge,Die nach vorstehender Kauf Punctation mir in Termino
2,300,break,high,short_line,0.47,18,38,erhalten zu haben.,Auch verspreche
2,301,run,review,short_line,0.39,15,38,Auch verspreche,"ich, dem Herrn Banquier Weigel die Ein¬"
2,315,run,review,short_line,0.53,20,38,Carl Gottlieb Weigel,im Nahmen und als Compagnon seines Vaters
2,317,run,review,short_line,0.55,21,38,Carl Ferdinand Weigel,Daß vorstehende Cession und Quittung über die
2,338,run,review,short_line,0.64,25,39,Breslau den 26 April 1803,Des Justiz-Amt des Frauen Fürstl. Stift zu
2,340,break,high,short_line+column,0.18,7,39,Vincenz,[L. S.]
2,341,break,high,short_line+column,0.18,7,39,[L. S.],Büchler
3,347,run,review,short_line,0.23,12,53,[S. Melich?],Wir das Fürstlich Hohenlohe Ingelfingensche Gerichts
3,356,break,high,short_line,0.19,10,53,Wort also:,Zwischen den Hochwohlgebohrnen Herrn Joseph von
3,358,break,high,short_line+column,0.6,32,53,Jankowski zu [?]inino verkaufern,und
3,359,run,review,short_line,0.06,3,53,und,den Wohlgebohrnen Herrn Hauptmann und Kreis Steuer¬
3,367,break,high,rubric,0.91,48,53,die gegenwärtig hierüber verfaßte und von berden,H. Theilnehmern durch die eigenhändige Unterschriften und
3,373,break,high,rubric+short_line,0.11,6,52,nehmen,I. der Eingangs ermeldete Herr Joseph von Jankowski
3,391,break,high,rubric+short_line,0.4,21,52,eigenthümlich erkauft,II. an letzt gedachten Herrn Hauptmann und Kreis Steuer
3,401,break,high,rubric+short_line,0.36,16,44,digste quittirt.,III.
3,407,break,high,rubric,0.88,39,44,Verkaufer keine Abrechnungen fürmüssen.,IV.
3,410,break,high,rubric+short_line,0.16,7,44,vilegio,"a., in 25 Tynphe, Reise Geld an den Betscher Hof"
3,411,break,high,rubric,1.08,48,44,"a., in 25 Tynphe, Reise Geld an den Betscher Hof","b., in 5 Szostaki Grundzinn"
3,412,break,high,rubric,0.61,27,44,"b., in 5 Szostaki Grundzinn","c., in 5 Viertel Hafer"
3,413,break,high,rubric,0.49,22,44,"c., in 5 Viertel Hafer","d., in 1. Tynph Fuchsgeld"
3,414,break,high,rubric,0.56,25,44,"d., in 1. Tynph Fuchsgeld","e., in 2 Rappamten und"
3,415,break,high,rubric,0.49,22,44,"e., in 2 Rappamten und","f., den gewöhnlichen Kirchen Abgaben, welche Herr"
3,418,break,high,short_line,0.54,24,44,zu praestiren angelobte.,dagegen wird demselben.
3,422,break,high,rubric,1.04,49,47,Schaafe zu halten und zum Lohn der Schäfer Rechte,50. Stük mit freyer Hüthung auf den Dormower Grunde
3,427,break,high,rubric+short_line,0.49,23,47,in Betscher Hof bezahlt,VI.
3,432,break,high,rubric,0.98,46,47,Betscher Hofe auferlegte Strafe erlegen müssen,VII.
